epoch= 0, acc = 10.029999732971191
upload= 4504415, download = 4534550
epoch= 1, acc = 14.539999961853027
upload= 9008731, download = 9069050
epoch= 2, acc = 13.449999809265137
upload= 13512945, download = 13603350
epoch= 3, acc = 20.209999084472656
upload= 18017260, download = 18137800
epoch= 4, acc = 23.420000076293945
upload= 22521676, download = 22672400
epoch= 5, acc = 29.149999618530273
upload= 27025892, download = 27206800
epoch= 6, acc = 31.610000610351562
upload= 31530108, download = 31741200
epoch= 7, acc = 37.91999816894531
upload= 36034324, download = 36275600
epoch= 8, acc = 40.959999084472656
upload= 40538440, download = 40809900
epoch= 9, acc = 48.189998626708984
upload= 45042756, download = 45344400
epoch= 10, acc = 47.88999938964844
upload= 49547072, download = 49878900
epoch= 11, acc = 52.25
upload= 54051487, download = 54413450
epoch= 12, acc = 50.38999938964844
upload= 58555802, download = 58947900
epoch= 13, acc = 51.400001525878906
upload= 63060218, download = 63482500
epoch= 14, acc = 51.560001373291016
upload= 67564634, download = 68017100
epoch= 15, acc = 49.61000061035156
upload= 72068850, download = 72551500
epoch= 16, acc = 51.689998626708984
upload= 76573366, download = 77086200
epoch= 17, acc = 52.279998779296875
upload= 81077682, download = 81620700
epoch= 18, acc = 52.529998779296875
upload= 85582198, download = 86155400
epoch= 19, acc = 52.689998626708984
upload= 90086413, download = 90689750
epoch= 20, acc = 53.41999816894531
upload= 94590729, download = 95224250
epoch= 21, acc = 55.08000183105469
upload= 99094945, download = 99758650
epoch= 22, acc = 52.150001525878906
upload= 103599360, download = 104293200
epoch= 23, acc = 55.779998779296875
upload= 108103576, download = 108827600
epoch= 24, acc = 54.720001220703125
upload= 112607892, download = 113362100
epoch= 25, acc = 57.2400016784668
upload= 117112408, download = 117896800
epoch= 26, acc = 55.63999938964844
upload= 121616624, download = 122431200
epoch= 27, acc = 58.599998474121094
upload= 126121040, download = 126965800
epoch= 28, acc = 59.58000183105469
upload= 130625456, download = 131500400
epoch= 29, acc = 63.5099983215332
upload= 135129572, download = 136034700
epoch= 30, acc = 62.33000183105469
upload= 139633988, download = 140569300
epoch= 31, acc = 65.4000015258789
upload= 144138403, download = 145103850
epoch= 32, acc = 63.16999816894531
upload= 148642718, download = 149638300
epoch= 33, acc = 67.08000183105469
upload= 153146932, download = 154172600
epoch= 34, acc = 64.54000091552734
upload= 157651347, download = 158707150
epoch= 35, acc = 68.76000213623047
upload= 162155563, download = 163241550
epoch= 36, acc = 65.25
upload= 166659979, download = 167776150
epoch= 37, acc = 70.7300033569336
upload= 171164295, download = 172310650
epoch= 38, acc = 67.3499984741211
upload= 175668711, download = 176845250
epoch= 39, acc = 70.88999938964844
upload= 180172826, download = 181379500
epoch= 40, acc = 68.44999694824219
upload= 184677242, download = 185914100
epoch= 41, acc = 71.68000030517578
upload= 189181458, download = 190448500
epoch= 42, acc = 67.12999725341797
upload= 193685674, download = 194982900
epoch= 43, acc = 71.91999816894531
upload= 198189990, download = 199517400
epoch= 44, acc = 70.93000030517578
upload= 202694406, download = 204052000
epoch= 45, acc = 73.18000030517578
upload= 207198521, download = 208586250
epoch= 46, acc = 70.47000122070312
upload= 211702736, download = 213120600
epoch= 47, acc = 75.2699966430664
upload= 216207252, download = 217655300
epoch= 48, acc = 73.9000015258789
upload= 220711668, download = 222189900
epoch= 49, acc = 76.1500015258789
upload= 225216084, download = 226724500
epoch= 50, acc = 75.4000015258789
upload= 229720500, download = 231259100
epoch= 51, acc = 76.98999786376953
upload= 234224616, download = 235793400
epoch= 52, acc = 75.18000030517578
upload= 238729031, download = 240327950
epoch= 53, acc = 78.12000274658203
upload= 243233447, download = 244862550
epoch= 54, acc = 75.73999786376953
upload= 247737863, download = 249397150
epoch= 55, acc = 78.48999786376953
upload= 252242379, download = 253931850
epoch= 56, acc = 75.43000030517578
upload= 256746695, download = 258466350
epoch= 57, acc = 79.54000091552734
upload= 261250911, download = 263000750
epoch= 58, acc = 77.12999725341797
upload= 265755127, download = 267535150
epoch= 59, acc = 79.88999938964844
upload= 270259543, download = 272069750
epoch= 60, acc = 75.5
upload= 274764059, download = 276604450
epoch= 61, acc = 79.63999938964844
upload= 279268574, download = 281139100
epoch= 62, acc = 76.94000244140625
upload= 283773090, download = 285673800
epoch= 63, acc = 80.44000244140625
upload= 288277206, download = 290208100
epoch= 64, acc = 78.38999938964844
upload= 292781322, download = 294742400
epoch= 65, acc = 80.83999633789062
upload= 297285837, download = 299277050
epoch= 66, acc = 79.44000244140625
upload= 301790153, download = 303811550
epoch= 67, acc = 80.08000183105469
upload= 306294669, download = 308346250
epoch= 68, acc = 78.77999877929688
upload= 310799084, download = 312880800
epoch= 69, acc = 81.62000274658203
upload= 315303300, download = 317415200
epoch= 70, acc = 80.12999725341797
upload= 319807716, download = 321949800
epoch= 71, acc = 80.91999816894531
upload= 324312032, download = 326484300
epoch= 72, acc = 81.30000305175781
upload= 328816548, download = 331019000
epoch= 73, acc = 81.51000213623047
upload= 333320964, download = 335553600
epoch= 74, acc = 81.63999938964844
upload= 337825380, download = 340088200
epoch= 75, acc = 81.66000366210938
upload= 342329796, download = 344622800
epoch= 76, acc = 81.98999786376953
upload= 346834111, download = 349157250
epoch= 77, acc = 83.05000305175781
upload= 351338627, download = 353691950
epoch= 78, acc = 82.38999938964844
upload= 355842942, download = 358226400
epoch= 79, acc = 83.05000305175781
upload= 360347157, download = 362760750
epoch= 80, acc = 81.86000061035156
upload= 364851573, download = 367295350
epoch= 81, acc = 82.9000015258789
upload= 369355989, download = 371829950
epoch= 82, acc = 82.44999694824219
upload= 373860505, download = 376364650
epoch= 83, acc = 83.47000122070312
upload= 378364421, download = 380898750
epoch= 84, acc = 83.05999755859375
upload= 382868737, download = 385433250
epoch= 85, acc = 83.9000015258789
upload= 387373053, download = 389967750
epoch= 86, acc = 82.8499984741211
upload= 391877368, download = 394502200
epoch= 87, acc = 84.05999755859375
upload= 396381584, download = 399036600
epoch= 88, acc = 83.33999633789062
upload= 400886100, download = 403571300
epoch= 89, acc = 84.3499984741211
upload= 405390414, download = 408105700
epoch= 90, acc = 83.41000366210938
upload= 409894630, download = 412640100
epoch= 91, acc = 84.37999725341797
upload= 414398846, download = 417174500
epoch= 92, acc = 83.47000122070312
upload= 418903062, download = 421708900
epoch= 93, acc = 84.27999877929688
upload= 423407378, download = 426243400
epoch= 94, acc = 83.83999633789062
upload= 427911594, download = 430777800
epoch= 95, acc = 84.87000274658203
upload= 432416010, download = 435312400
epoch= 96, acc = 83.86000061035156
upload= 436920324, download = 439846800
epoch= 97, acc = 84.61000061035156
upload= 441424740, download = 444381400
epoch= 98, acc = 84.20999908447266
upload= 445928856, download = 448915700
epoch= 99, acc = 84.94000244140625
upload= 450433272, download = 453450300
