epoch= 0, acc = 12.010000228881836
upload= 58549716, download = 58557300
epoch= 1, acc = 13.8100004196167
upload= 117096832, download = 117112000
epoch= 2, acc = 18.34000015258789
upload= 175642648, download = 175665400
epoch= 3, acc = 18.65999984741211
upload= 234189764, download = 234220100
epoch= 4, acc = 25.520000457763672
upload= 292734280, download = 292772200
epoch= 5, acc = 29.209999084472656
upload= 351278795, download = 351324275
epoch= 6, acc = 38.189998626708984
upload= 409822011, download = 409875075
epoch= 7, acc = 40.0099983215332
upload= 468367827, download = 468428475
epoch= 8, acc = 47.54999923706055
upload= 526913643, download = 526981875
epoch= 9, acc = 47.75
upload= 585462059, download = 585537875
epoch= 10, acc = 51.95000076293945
upload= 644006575, download = 644089975
epoch= 11, acc = 51.81999969482422
upload= 702552390, download = 702643350
epoch= 12, acc = 54.029998779296875
upload= 761099506, download = 761198050
epoch= 13, acc = 53.099998474121094
upload= 819645322, download = 819751450
epoch= 14, acc = 54.47999954223633
upload= 878192438, download = 878306150
epoch= 15, acc = 53.27000045776367
upload= 936735654, download = 936856950
epoch= 16, acc = 54.7599983215332
upload= 995284070, download = 995412950
epoch= 17, acc = 52.86000061035156
upload= 1053827286, download = 1053963750
epoch= 18, acc = 55.29999923706055
upload= 1112374401, download = 1112518425
epoch= 19, acc = 54.15999984741211
upload= 1170918916, download = 1171070500
epoch= 20, acc = 56.70000076293945
upload= 1229464732, download = 1229623900
epoch= 21, acc = 56.15999984741211
upload= 1288013148, download = 1288179900
epoch= 22, acc = 59.06999969482422
upload= 1346558964, download = 1346733300
epoch= 23, acc = 59.75
upload= 1405104780, download = 1405286700
epoch= 24, acc = 61.310001373291016
upload= 1463654496, download = 1463844000
epoch= 25, acc = 63.189998626708984
upload= 1522197712, download = 1522394800
epoch= 26, acc = 63.279998779296875
upload= 1580744828, download = 1580949500
epoch= 27, acc = 66.01000213623047
upload= 1639295843, download = 1639508075
epoch= 28, acc = 65.27999877929688
upload= 1697842959, download = 1698062775
epoch= 29, acc = 68.75
upload= 1756387475, download = 1756614875
epoch= 30, acc = 66.80000305175781
upload= 1814933291, download = 1815168275
epoch= 31, acc = 71.44999694824219
upload= 1873477807, download = 1873720375
epoch= 32, acc = 70.05999755859375
upload= 1932023623, download = 1932273775
epoch= 33, acc = 73.94999694824219
upload= 1990566838, download = 1990824550
epoch= 34, acc = 72.27999877929688
upload= 2049110054, download = 2049375350
epoch= 35, acc = 75.7300033569336
upload= 2107657170, download = 2107930050
epoch= 36, acc = 74.44999694824219
upload= 2166204286, download = 2166484750
epoch= 37, acc = 77.51000213623047
upload= 2224747502, download = 2225035550
epoch= 38, acc = 76.63999938964844
upload= 2283290718, download = 2283586350
epoch= 39, acc = 79.19999694824219
upload= 2341839134, download = 2342142350
epoch= 40, acc = 79.11000061035156
upload= 2400387550, download = 2400698350
epoch= 41, acc = 79.81999969482422
upload= 2458935966, download = 2459254350
epoch= 42, acc = 80.55999755859375
upload= 2517486982, download = 2517812950
epoch= 43, acc = 81.25
