epoch= 0, acc = 12.0
upload= 1081449, download = 1087092
epoch= 1, acc = 14.329999923706055
upload= 2162473, download = 2169876
epoch= 2, acc = 14.34000015258789
upload= 3243569, download = 3252732
epoch= 3, acc = 20.1200008392334
upload= 4324641, download = 4335564
epoch= 4, acc = 21.5
upload= 5405713, download = 5418396
epoch= 5, acc = 30.790000915527344
upload= 6486737, download = 6501180
epoch= 6, acc = 35.79999923706055
upload= 7567833, download = 7584036
epoch= 7, acc = 39.72999954223633
upload= 8648905, download = 8666868
epoch= 8, acc = 45.119998931884766
upload= 9729977, download = 9749700
epoch= 9, acc = 44.61000061035156
upload= 10811073, download = 10832556
epoch= 10, acc = 49.779998779296875
upload= 11892145, download = 11915388
epoch= 11, acc = 47.08000183105469
upload= 12973241, download = 12998244
epoch= 12, acc = 51.439998626708984
upload= 14054289, download = 14081052
epoch= 13, acc = 47.630001068115234
upload= 15135361, download = 15163884
epoch= 14, acc = 52.150001525878906
upload= 16216433, download = 16246716
epoch= 15, acc = 48.029998779296875
upload= 17297505, download = 17329548
epoch= 16, acc = 54.0
upload= 18378529, download = 18412332
epoch= 17, acc = 49.31999969482422
upload= 19459625, download = 19495188
epoch= 18, acc = 56.119998931884766
upload= 20540649, download = 20577972
epoch= 19, acc = 50.77000045776367
upload= 21621721, download = 21660804
epoch= 20, acc = 58.43000030517578
upload= 22702793, download = 22743636
epoch= 21, acc = 52.5099983215332
upload= 23783889, download = 23826492
epoch= 22, acc = 60.720001220703125
upload= 24864985, download = 24909348
epoch= 23, acc = 54.33000183105469
upload= 25946081, download = 25992204
epoch= 24, acc = 62.709999084472656
upload= 27027153, download = 27075036
epoch= 25, acc = 56.939998626708984
upload= 28108225, download = 28157868
epoch= 26, acc = 64.30000305175781
upload= 29189321, download = 29240724
epoch= 27, acc = 58.709999084472656
upload= 30270393, download = 30323556
epoch= 28, acc = 65.55999755859375
upload= 31351489, download = 31406412
epoch= 29, acc = 61.689998626708984
upload= 32432513, download = 32489196
epoch= 30, acc = 67.7300033569336
upload= 33513609, download = 33572052
epoch= 31, acc = 64.55999755859375
upload= 34594705, download = 34654908
epoch= 32, acc = 69.5199966430664
upload= 35675777, download = 35737740
epoch= 33, acc = 67.69999694824219
upload= 36756849, download = 36820572
epoch= 34, acc = 72.12999725341797
upload= 37837921, download = 37903404
epoch= 35, acc = 70.16000366210938
upload= 38918945, download = 38986188
epoch= 36, acc = 73.55999755859375
upload= 39999993, download = 40068996
epoch= 37, acc = 72.83000183105469
upload= 41081065, download = 41151828
epoch= 38, acc = 76.30999755859375
upload= 42162113, download = 42234636
epoch= 39, acc = 74.44999694824219
upload= 43243185, download = 43317468
epoch= 40, acc = 77.22000122070312
upload= 44324233, download = 44400276
epoch= 41, acc = 76.5199966430664
upload= 45405281, download = 45483084
epoch= 42, acc = 78.37000274658203
upload= 46486377, download = 46565940
epoch= 43, acc = 77.94000244140625
upload= 47567449, download = 47648772
epoch= 44, acc = 79.38999938964844
upload= 48648545, download = 48731628
epoch= 45, acc = 78.69999694824219
upload= 49729641, download = 49814484
epoch= 46, acc = 80.05000305175781
upload= 50810713, download = 50897316
epoch= 47, acc = 80.01000213623047
upload= 51891785, download = 51980148
epoch= 48, acc = 81.55999755859375
upload= 52972881, download = 53063004
epoch= 49, acc = 81.08999633789062
upload= 54053953, download = 54145836
epoch= 50, acc = 82.33000183105469
upload= 55135049, download = 55228692
epoch= 51, acc = 81.48999786376953
upload= 56216145, download = 56311548
epoch= 52, acc = 83.16000366210938
upload= 57297193, download = 57394356
epoch= 53, acc = 82.43000030517578
upload= 58378265, download = 58477188
epoch= 54, acc = 84.05000305175781
upload= 59459336, download = 59560008
epoch= 55, acc = 83.30999755859375
upload= 60540432, download = 60642864
epoch= 56, acc = 84.94999694824219
upload= 61621528, download = 61725720
epoch= 57, acc = 83.70999908447266
upload= 62702504, download = 62808456
epoch= 58, acc = 85.4000015258789
upload= 63783576, download = 63891288
epoch= 59, acc = 84.58999633789062
upload= 64864672, download = 64974144
epoch= 60, acc = 86.25
