epoch= 0, acc = 10.279999732971191
upload= 4505666, download = 4592200
epoch= 1, acc = 12.670000076293945
upload= 9010182, download = 9126900
epoch= 2, acc = 14.529999732971191
upload= 13514696, download = 13661500
epoch= 3, acc = 20.489999771118164
upload= 18019211, download = 18196150
epoch= 4, acc = 21.440000534057617
upload= 22523727, download = 22730850
epoch= 5, acc = 29.190000534057617
upload= 27028243, download = 27265550
epoch= 6, acc = 34.810001373291016
upload= 31532759, download = 31800250
epoch= 7, acc = 36.65999984741211
upload= 36037275, download = 36334950
epoch= 8, acc = 33.310001373291016
upload= 40541791, download = 40869650
epoch= 9, acc = 33.13999938964844
upload= 45046307, download = 45404350
epoch= 10, acc = 36.720001220703125
upload= 49550823, download = 49939050
epoch= 11, acc = 37.290000915527344
upload= 54055338, download = 54473700
epoch= 12, acc = 40.75
upload= 58559853, download = 59008350
epoch= 13, acc = 44.31999969482422
upload= 63064369, download = 63543050
epoch= 14, acc = 43.869998931884766
upload= 67568885, download = 68077750
epoch= 15, acc = 50.529998779296875
upload= 72073401, download = 72612450
epoch= 16, acc = 46.97999954223633
upload= 76577917, download = 77147150
epoch= 17, acc = 56.52000045776367
upload= 81082433, download = 81681850
epoch= 18, acc = 58.5
upload= 85586949, download = 86216550
epoch= 19, acc = 65.55000305175781
upload= 90091464, download = 90751200
epoch= 20, acc = 60.619998931884766
upload= 94595980, download = 95285900
epoch= 21, acc = 66.88999938964844
upload= 99100396, download = 99820500
epoch= 22, acc = 68.04000091552734
upload= 103604811, download = 104355050
epoch= 23, acc = 68.97000122070312
upload= 108109327, download = 108889750
epoch= 24, acc = 65.37999725341797
upload= 112613843, download = 113424450
epoch= 25, acc = 72.19999694824219
upload= 117118259, download = 117959050
epoch= 26, acc = 68.75
upload= 121622775, download = 122493750
epoch= 27, acc = 70.13999938964844
upload= 126127291, download = 127028450
epoch= 28, acc = 68.13999938964844
upload= 130631807, download = 131563150
epoch= 29, acc = 75.25
upload= 135136323, download = 136097850
epoch= 30, acc = 74.33999633789062
upload= 139640839, download = 140632550
epoch= 31, acc = 74.12000274658203
upload= 144145354, download = 145167200
epoch= 32, acc = 73.27999877929688
upload= 148649869, download = 149701850
epoch= 33, acc = 76.05999755859375
upload= 153154383, download = 154236450
epoch= 34, acc = 71.12000274658203
upload= 157658898, download = 158771100
epoch= 35, acc = 77.91999816894531
upload= 162163414, download = 163305800
epoch= 36, acc = 73.4000015258789
upload= 166667930, download = 167840500
epoch= 37, acc = 77.06999969482422
upload= 171172446, download = 172375200
epoch= 38, acc = 77.23999786376953
upload= 175676962, download = 176909900
epoch= 39, acc = 78.88999938964844
upload= 180181477, download = 181444550
epoch= 40, acc = 77.0
upload= 184685993, download = 185979250
epoch= 41, acc = 79.5999984741211
upload= 189190509, download = 190513950
epoch= 42, acc = 78.43000030517578
upload= 193695025, download = 195048650
epoch= 43, acc = 80.41000366210938
upload= 198199541, download = 199583350
epoch= 44, acc = 78.7699966430664
upload= 202704057, download = 204118050
epoch= 45, acc = 81.25
upload= 207208572, download = 208652700
epoch= 46, acc = 78.97000122070312
upload= 211713087, download = 213187350
epoch= 47, acc = 80.33999633789062
upload= 216217603, download = 217722050
epoch= 48, acc = 79.27999877929688
upload= 220722119, download = 222256750
epoch= 49, acc = 79.94999694824219
upload= 225226635, download = 226791450
epoch= 50, acc = 79.3499984741211
upload= 229731151, download = 231326150
epoch= 51, acc = 80.25
upload= 234235667, download = 235860850
epoch= 52, acc = 80.27999877929688
upload= 238740182, download = 240395500
epoch= 53, acc = 82.0
upload= 243244698, download = 244930200
epoch= 54, acc = 82.2300033569336
upload= 247749214, download = 249464900
epoch= 55, acc = 82.41999816894531
upload= 252253730, download = 253999600
epoch= 56, acc = 81.5
upload= 256758246, download = 258534300
epoch= 57, acc = 83.19999694824219
upload= 261262762, download = 263069000
epoch= 58, acc = 82.7699966430664
upload= 265767278, download = 267603700
epoch= 59, acc = 82.45999908447266
upload= 270271794, download = 272138400
epoch= 60, acc = 82.0
upload= 274776310, download = 276673100
epoch= 61, acc = 83.2699966430664
upload= 279280825, download = 281207750
epoch= 62, acc = 81.52999877929688
upload= 283785341, download = 285742450
epoch= 63, acc = 83.62000274658203
upload= 288289857, download = 290277150
epoch= 64, acc = 83.93000030517578
upload= 292794373, download = 294811850
epoch= 65, acc = 84.83999633789062
upload= 297298888, download = 299346500
epoch= 66, acc = 83.33999633789062
upload= 301803404, download = 303881200
epoch= 67, acc = 83.20999908447266
upload= 306307920, download = 308415900
epoch= 68, acc = 83.54000091552734
upload= 310812435, download = 312950550
epoch= 69, acc = 84.06999969482422
upload= 315316851, download = 317485150
epoch= 70, acc = 83.66999816894531
upload= 319821367, download = 322019850
epoch= 71, acc = 85.6500015258789
upload= 324325883, download = 326554550
epoch= 72, acc = 82.69999694824219
upload= 328830399, download = 331089250
epoch= 73, acc = 84.45999908447266
upload= 333334915, download = 335623950
epoch= 74, acc = 83.1500015258789
upload= 337839431, download = 340158650
epoch= 75, acc = 85.4000015258789
upload= 342343947, download = 344693350
epoch= 76, acc = 84.8499984741211
upload= 346848462, download = 349228000
epoch= 77, acc = 85.88999938964844
upload= 351352978, download = 353762700
epoch= 78, acc = 85.16999816894531
upload= 355857493, download = 358297350
epoch= 79, acc = 86.77999877929688
upload= 360362008, download = 362832000
epoch= 80, acc = 85.30000305175781
upload= 364866524, download = 367366700
epoch= 81, acc = 85.66000366210938
upload= 369371040, download = 371901400
epoch= 82, acc = 86.83999633789062
upload= 373875556, download = 376436100
epoch= 83, acc = 87.33999633789062
upload= 378380072, download = 380970800
epoch= 84, acc = 87.04000091552734
upload= 382884588, download = 385505500
epoch= 85, acc = 87.58000183105469
upload= 387389104, download = 390040200
epoch= 86, acc = 87.58999633789062
upload= 391893619, download = 394574850
epoch= 87, acc = 87.97000122070312
upload= 396398135, download = 399109550
epoch= 88, acc = 86.88999938964844
upload= 400902651, download = 403644250
epoch= 89, acc = 88.12999725341797
