epoch= 0, acc = 11.09000015258789
upload= 4504415, download = 4534550
epoch= 1, acc = 10.5
upload= 9008831, download = 9069150
epoch= 2, acc = 12.010000228881836
upload= 13513345, download = 13603750
epoch= 3, acc = 10.819999694824219
upload= 18017760, download = 18138300
epoch= 4, acc = 11.920000076293945
upload= 22522176, download = 22672900
epoch= 5, acc = 11.020000457763672
upload= 27026692, download = 27207600
epoch= 6, acc = 13.380000114440918
upload= 31531008, download = 31742100
epoch= 7, acc = 16.90999984741211
upload= 36035524, download = 36276800
epoch= 8, acc = 12.670000076293945
upload= 40540040, download = 40811500
epoch= 9, acc = 15.180000305175781
upload= 45044356, download = 45346000
epoch= 10, acc = 15.569999694824219
upload= 49548872, download = 49880700
epoch= 11, acc = 14.619999885559082
upload= 54053087, download = 54415050
epoch= 12, acc = 16.030000686645508
upload= 58557602, download = 58949700
epoch= 13, acc = 17.68000030517578
upload= 63061918, download = 63484200
epoch= 14, acc = 16.479999542236328
upload= 67566434, download = 68018900
epoch= 15, acc = 16.079999923706055
upload= 72070650, download = 72553300
epoch= 16, acc = 15.649999618530273
upload= 76575166, download = 77088000
epoch= 17, acc = 16.030000686645508
upload= 81079382, download = 81622400
epoch= 18, acc = 12.630000114440918
upload= 85583898, download = 86157100
epoch= 19, acc = 14.100000381469727
upload= 90088413, download = 90691750
epoch= 20, acc = 13.039999961853027
upload= 94592729, download = 95226250
epoch= 21, acc = 15.8100004196167
upload= 99097045, download = 99760750
epoch= 22, acc = 16.170000076293945
upload= 103601460, download = 104295300
epoch= 23, acc = 13.449999809265137
upload= 108105976, download = 108830000
epoch= 24, acc = 15.850000381469727
upload= 112610392, download = 113364600
epoch= 25, acc = 13.319999694824219
upload= 117114908, download = 117899300
epoch= 26, acc = 14.510000228881836
upload= 121619324, download = 122433900
epoch= 27, acc = 14.989999771118164
upload= 126123640, download = 126968400
epoch= 28, acc = 12.880000114440918
upload= 130628156, download = 131503100
epoch= 29, acc = 14.0
upload= 135132572, download = 136037700
epoch= 30, acc = 13.680000305175781
upload= 139636888, download = 140572200
epoch= 31, acc = 14.720000267028809
upload= 144141303, download = 145106750
epoch= 32, acc = 14.84000015258789
upload= 148645818, download = 149641400
epoch= 33, acc = 15.149999618530273
upload= 153150232, download = 154175900
epoch= 34, acc = 16.1299991607666
upload= 157654747, download = 158710550
epoch= 35, acc = 18.3700008392334
upload= 162158963, download = 163244950
epoch= 36, acc = 20.760000228881836
upload= 166663379, download = 167779550
epoch= 37, acc = 20.8700008392334
upload= 171167795, download = 172314150
epoch= 38, acc = 20.700000762939453
upload= 175672311, download = 176848850
epoch= 39, acc = 22.68000030517578
upload= 180176826, download = 181383500
epoch= 40, acc = 21.899999618530273
upload= 184681242, download = 185918100
epoch= 41, acc = 22.270000457763672
upload= 189185758, download = 190452800
epoch= 42, acc = 24.8799991607666
upload= 193690174, download = 194987400
epoch= 43, acc = 24.600000381469727
upload= 198194490, download = 199521900
epoch= 44, acc = 24.139999389648438
upload= 202699006, download = 204056600
epoch= 45, acc = 24.510000228881836
upload= 207203321, download = 208591050
epoch= 46, acc = 20.780000686645508
upload= 211707836, download = 213125700
epoch= 47, acc = 18.979999542236328
upload= 216212352, download = 217660400
epoch= 48, acc = 19.610000610351562
upload= 220716768, download = 222195000
epoch= 49, acc = 19.709999084472656
upload= 225221284, download = 226729700
epoch= 50, acc = 18.190000534057617
upload= 229725600, download = 231264200
epoch= 51, acc = 18.170000076293945
upload= 234229916, download = 235798700
epoch= 52, acc = 15.90999984741211
upload= 238734431, download = 240333350
epoch= 53, acc = 13.600000381469727
upload= 243238947, download = 244868050
epoch= 54, acc = 12.600000381469727
upload= 247743463, download = 249402750
epoch= 55, acc = 12.770000457763672
upload= 252247979, download = 253937450
epoch= 56, acc = 13.569999694824219
upload= 256752495, download = 258472150
epoch= 57, acc = 14.0600004196167
upload= 261256911, download = 263006750
epoch= 58, acc = 13.380000114440918
upload= 265761327, download = 267541350
epoch= 59, acc = 13.430000305175781
upload= 270265743, download = 272075950
epoch= 60, acc = 14.729999542236328
upload= 274770259, download = 276610650
epoch= 61, acc = 14.430000305175781
upload= 279274674, download = 281145200
epoch= 62, acc = 10.25
upload= 283779090, download = 285679800
epoch= 63, acc = 11.09000015258789
upload= 288283606, download = 290214500
epoch= 64, acc = 10.75
upload= 292788122, download = 294749200
epoch= 65, acc = 11.010000228881836
upload= 297292537, download = 299283750
epoch= 66, acc = 11.020000457763672
upload= 301797053, download = 303818450
epoch= 67, acc = 9.90999984741211
upload= 306301469, download = 308353050
epoch= 68, acc = 9.869999885559082
upload= 310805984, download = 312887700
epoch= 69, acc = 9.449999809265137
upload= 315310300, download = 317422200
epoch= 70, acc = 9.010000228881836
upload= 319814816, download = 321956900
epoch= 71, acc = 10.399999618530273
upload= 324319332, download = 326491600
epoch= 72, acc = 8.710000038146973
upload= 328823848, download = 331026300
epoch= 73, acc = 8.829999923706055
upload= 333328364, download = 335561000
epoch= 74, acc = 10.720000267028809
upload= 337832580, download = 340095400
epoch= 75, acc = 8.670000076293945
upload= 342337096, download = 344630100
epoch= 76, acc = 8.489999771118164
upload= 346841611, download = 349164750
epoch= 77, acc = 8.289999961853027
upload= 351346027, download = 353699350
epoch= 78, acc = 9.65999984741211
upload= 355850542, download = 358234000
epoch= 79, acc = 9.59000015258789
upload= 360354957, download = 362768550
epoch= 80, acc = 12.050000190734863
upload= 364859173, download = 367302950
epoch= 81, acc = 14.65999984741211
upload= 369363489, download = 371837450
epoch= 82, acc = 14.210000038146973
upload= 373867905, download = 376372050
epoch= 83, acc = 16.479999542236328
upload= 378372221, download = 380906550
epoch= 84, acc = 15.029999732971191
upload= 382876637, download = 385441150
epoch= 85, acc = 11.350000381469727
upload= 387381153, download = 389975850
epoch= 86, acc = 11.220000267028809
upload= 391885568, download = 394510400
epoch= 87, acc = 12.270000457763672
upload= 396390084, download = 399045100
epoch= 88, acc = 12.069999694824219
upload= 400894500, download = 403579700
epoch= 89, acc = 12.869999885559082
upload= 405399014, download = 408114300
epoch= 90, acc = 14.539999961853027
upload= 409903430, download = 412648900
epoch= 91, acc = 12.739999771118164
upload= 414407946, download = 417183600
epoch= 92, acc = 10.050000190734863
upload= 418912362, download = 421718200
epoch= 93, acc = 11.369999885559082
upload= 423416878, download = 426252900
epoch= 94, acc = 9.569999694824219
upload= 427921294, download = 430787500
epoch= 95, acc = 8.869999885559082
upload= 432425810, download = 435322200
epoch= 96, acc = 15.489999771118164
upload= 436929824, download = 439856300
epoch= 97, acc = 14.720000267028809
upload= 441434240, download = 444390900
epoch= 98, acc = 14.430000305175781
upload= 445938756, download = 448925600
epoch= 99, acc = 14.239999771118164
upload= 450443272, download = 453460300
