epoch= 0, acc = 11.760000228881836
upload= 2252266, download = 2259850
epoch= 1, acc = 13.449999809265137
upload= 4504532, download = 4519700
epoch= 2, acc = 18.360000610351562
upload= 6756798, download = 6779550
epoch= 3, acc = 18.93000030517578
upload= 9009064, download = 9039400
epoch= 4, acc = 27.239999771118164
upload= 11261330, download = 11299250
epoch= 5, acc = 30.829999923706055
upload= 13513595, download = 13559075
epoch= 6, acc = 39.689998626708984
upload= 15765861, download = 15818925
epoch= 7, acc = 39.41999816894531
upload= 18018127, download = 18078775
epoch= 8, acc = 48.27000045776367
upload= 20270393, download = 20338625
epoch= 9, acc = 46.630001068115234
upload= 22522659, download = 22598475
epoch= 10, acc = 52.22999954223633
upload= 24774925, download = 24858325
epoch= 11, acc = 49.2599983215332
upload= 27027140, download = 27118100
epoch= 12, acc = 54.5099983215332
upload= 29279406, download = 29377950
epoch= 13, acc = 51.36000061035156
upload= 31531672, download = 31637800
epoch= 14, acc = 54.41999816894531
upload= 33783938, download = 33897650
epoch= 15, acc = 50.630001068115234
upload= 36036204, download = 36157500
epoch= 16, acc = 54.0099983215332
upload= 38288470, download = 38417350
epoch= 17, acc = 51.88999938964844
upload= 40540736, download = 40677200
epoch= 18, acc = 53.119998931884766
upload= 42793001, download = 42937025
epoch= 19, acc = 51.779998779296875
upload= 45045266, download = 45196850
epoch= 20, acc = 53.27000045776367
upload= 47297532, download = 47456700
epoch= 21, acc = 52.70000076293945
upload= 49549648, download = 49716400
epoch= 22, acc = 54.29999923706055
upload= 51801914, download = 51976250
epoch= 23, acc = 54.72999954223633
upload= 54054180, download = 54236100
epoch= 24, acc = 54.650001525878906
upload= 56306446, download = 56495950
epoch= 25, acc = 56.540000915527344
upload= 58558712, download = 58755800
epoch= 26, acc = 57.72999954223633
upload= 60810978, download = 61015650
epoch= 27, acc = 58.66999816894531
upload= 63063243, download = 63275475
epoch= 28, acc = 59.619998931884766
upload= 65315509, download = 65535325
epoch= 29, acc = 61.060001373291016
upload= 67567775, download = 67795175
epoch= 30, acc = 61.810001373291016
upload= 69820041, download = 70055025
epoch= 31, acc = 63.31999969482422
upload= 72072307, download = 72314875
epoch= 32, acc = 63.400001525878906
upload= 74324573, download = 74574725
epoch= 33, acc = 64.33000183105469
upload= 76576838, download = 76834550
epoch= 34, acc = 65.4800033569336
upload= 78829104, download = 79094400
epoch= 35, acc = 66.44000244140625
upload= 81081320, download = 81354200
epoch= 36, acc = 67.27999877929688
upload= 83333586, download = 83614050
epoch= 37, acc = 68.22000122070312
upload= 85585852, download = 85873900
epoch= 38, acc = 69.0
upload= 87838068, download = 88133700
epoch= 39, acc = 69.44000244140625
upload= 90090334, download = 90393550
epoch= 40, acc = 69.72000122070312
upload= 92342600, download = 92653400
epoch= 41, acc = 70.4800033569336
upload= 94594866, download = 94913250
epoch= 42, acc = 70.61000061035156
upload= 96847132, download = 97173100
epoch= 43, acc = 71.7699966430664
upload= 99099348, download = 99432900
epoch= 44, acc = 72.38999938964844
upload= 101351614, download = 101692750
epoch= 45, acc = 72.88999938964844
upload= 103603880, download = 103952600
epoch= 46, acc = 73.2699966430664
upload= 105856146, download = 106212450
epoch= 47, acc = 73.93000030517578
upload= 108108412, download = 108472300
epoch= 48, acc = 74.29000091552734
upload= 110360677, download = 110732125
epoch= 49, acc = 74.68000030517578
upload= 112612943, download = 112991975
epoch= 50, acc = 75.04000091552734
upload= 114865209, download = 115251825
epoch= 51, acc = 75.41000366210938
upload= 117117475, download = 117511675
epoch= 52, acc = 76.02999877929688
upload= 119369741, download = 119771525
epoch= 53, acc = 76.13999938964844
upload= 121622007, download = 122031375
epoch= 54, acc = 76.81999969482422
upload= 123874273, download = 124291225
epoch= 55, acc = 77.05000305175781
upload= 126126539, download = 126551075
epoch= 56, acc = 77.56999969482422
upload= 128378805, download = 128810925
epoch= 57, acc = 77.23999786376953
upload= 130631071, download = 131070775
epoch= 58, acc = 77.94000244140625
upload= 132883287, download = 133330575
epoch= 59, acc = 77.87000274658203
upload= 135135553, download = 135590425
epoch= 60, acc = 78.47000122070312
upload= 137387819, download = 137850275
epoch= 61, acc = 78.88999938964844
upload= 139640085, download = 140110125
epoch= 62, acc = 79.19999694824219
upload= 141892351, download = 142369975
epoch= 63, acc = 78.86000061035156
upload= 144144617, download = 144629825
epoch= 64, acc = 79.30000305175781
upload= 146396883, download = 146889675
epoch= 65, acc = 79.12999725341797
upload= 148649149, download = 149149525
epoch= 66, acc = 79.93000030517578
upload= 150901415, download = 151409375
epoch= 67, acc = 80.18000030517578
upload= 153153680, download = 153669200
epoch= 68, acc = 80.06999969482422
upload= 155405945, download = 155929025
epoch= 69, acc = 80.16000366210938
upload= 157658211, download = 158188875
epoch= 70, acc = 80.37999725341797
upload= 159910477, download = 160448725
epoch= 71, acc = 80.5
upload= 162162693, download = 162708525
epoch= 72, acc = 80.73999786376953
upload= 164414859, download = 164968275
epoch= 73, acc = 80.7300033569336
upload= 166667125, download = 167228125
epoch= 74, acc = 81.12999725341797
upload= 168919341, download = 169487925
epoch= 75, acc = 81.11000061035156
upload= 171171606, download = 171747750
epoch= 76, acc = 81.41000366210938
upload= 173423872, download = 174007600
epoch= 77, acc = 81.5999984741211
upload= 175676138, download = 176267450
epoch= 78, acc = 81.52999877929688
upload= 177928404, download = 178527300
epoch= 79, acc = 81.52999877929688
upload= 180180620, download = 180787100
epoch= 80, acc = 81.69000244140625
upload= 182432886, download = 183046950
epoch= 81, acc = 81.61000061035156
upload= 184685152, download = 185306800
epoch= 82, acc = 81.93000030517578
upload= 186937418, download = 187566650
epoch= 83, acc = 81.61000061035156
upload= 189189684, download = 189826500
epoch= 84, acc = 81.9800033569336
upload= 191441850, download = 192086250
epoch= 85, acc = 81.58999633789062
upload= 193694116, download = 194346100
epoch= 86, acc = 82.1500015258789
upload= 195946382, download = 196605950
epoch= 87, acc = 82.12999725341797
upload= 198198647, download = 198865775
epoch= 88, acc = 82.75
upload= 200450913, download = 201125625
epoch= 89, acc = 82.55000305175781
upload= 202703179, download = 203385475
epoch= 90, acc = 82.83000183105469
upload= 204955394, download = 205645250
epoch= 91, acc = 82.66999816894531
upload= 207207659, download = 207905075
epoch= 92, acc = 82.98999786376953
upload= 209459925, download = 210164925
epoch= 93, acc = 82.94000244140625
upload= 211712191, download = 212424775
epoch= 94, acc = 83.20999908447266
upload= 213964457, download = 214684625
epoch= 95, acc = 82.86000061035156
upload= 216216722, download = 216944450
epoch= 96, acc = 83.30000305175781
upload= 218468987, download = 219204275
epoch= 97, acc = 83.2300033569336
upload= 220721253, download = 221464125
epoch= 98, acc = 83.37000274658203
upload= 222973519, download = 223723975
epoch= 99, acc = 83.20999908447266
upload= 225225785, download = 225983825
