epoch= 0, acc = 9.989999771118164
upload= 4504515, download = 4534650
epoch= 1, acc = 15.880000114440918
upload= 9009031, download = 9069350
epoch= 2, acc = 16.399999618530273
upload= 13513545, download = 13603950
epoch= 3, acc = 23.479999542236328
upload= 18018060, download = 18138600
epoch= 4, acc = 28.3799991607666
upload= 22522576, download = 22673300
epoch= 5, acc = 40.75
upload= 27026992, download = 27207900
epoch= 6, acc = 39.5099983215332
upload= 31531508, download = 31742600
epoch= 7, acc = 46.36000061035156
upload= 36035824, download = 36277100
epoch= 8, acc = 44.59000015258789
upload= 40540240, download = 40811700
epoch= 9, acc = 50.209999084472656
upload= 45044756, download = 45346400
epoch= 10, acc = 48.970001220703125
upload= 49549272, download = 49881100
epoch= 11, acc = 51.18000030517578
upload= 54053787, download = 54415750
epoch= 12, acc = 51.25
upload= 58558302, download = 58950400
epoch= 13, acc = 52.970001220703125
upload= 63062818, download = 63485100
epoch= 14, acc = 52.349998474121094
upload= 67567134, download = 68019600
epoch= 15, acc = 48.58000183105469
upload= 72071550, download = 72554200
epoch= 16, acc = 51.939998626708984
upload= 76575766, download = 77088600
epoch= 17, acc = 49.65999984741211
upload= 81080282, download = 81623300
epoch= 18, acc = 51.029998779296875
upload= 85584598, download = 86157800
epoch= 19, acc = 51.08000183105469
upload= 90089113, download = 90692450
epoch= 20, acc = 52.58000183105469
upload= 94593629, download = 95227150
epoch= 21, acc = 50.75
upload= 99098145, download = 99761850
epoch= 22, acc = 52.95000076293945
upload= 103602660, download = 104296500
epoch= 23, acc = 53.70000076293945
upload= 108107176, download = 108831200
epoch= 24, acc = 52.79999923706055
upload= 112611492, download = 113365700
epoch= 25, acc = 55.349998474121094
upload= 117115908, download = 117900300
epoch= 26, acc = 55.84000015258789
upload= 121620324, download = 122434900
epoch= 27, acc = 59.09000015258789
upload= 126124740, download = 126969500
epoch= 28, acc = 56.09000015258789
upload= 130629156, download = 131504100
epoch= 29, acc = 61.790000915527344
upload= 135133172, download = 136038300
epoch= 30, acc = 59.150001525878906
upload= 139637388, download = 140572700
epoch= 31, acc = 64.27999877929688
upload= 144141903, download = 145107350
epoch= 32, acc = 60.150001525878906
upload= 148646318, download = 149641900
epoch= 33, acc = 63.939998626708984
upload= 153150732, download = 154176400
epoch= 34, acc = 62.279998779296875
upload= 157655247, download = 158711050
epoch= 35, acc = 65.6500015258789
upload= 162159663, download = 163245650
epoch= 36, acc = 63.77000045776367
upload= 166664079, download = 167780250
epoch= 37, acc = 67.36000061035156
upload= 171168595, download = 172314950
epoch= 38, acc = 66.33000183105469
upload= 175673111, download = 176849650
epoch= 39, acc = 69.47000122070312
upload= 180177626, download = 181384300
epoch= 40, acc = 67.83000183105469
upload= 184682142, download = 185919000
epoch= 41, acc = 70.8499984741211
upload= 189186658, download = 190453700
epoch= 42, acc = 67.5999984741211
upload= 193691074, download = 194988300
epoch= 43, acc = 71.16999816894531
upload= 198195490, download = 199522900
epoch= 44, acc = 70.66000366210938
upload= 202700006, download = 204057600
epoch= 45, acc = 74.13999938964844
upload= 207204321, download = 208592050
epoch= 46, acc = 72.37999725341797
upload= 211708836, download = 213126700
epoch= 47, acc = 74.62999725341797
upload= 216213252, download = 217661300
epoch= 48, acc = 72.62000274658203
upload= 220717768, download = 222196000
epoch= 49, acc = 74.94000244140625
upload= 225222184, download = 226730600
epoch= 50, acc = 72.95999908447266
upload= 229726700, download = 231265300
epoch= 51, acc = 75.80000305175781
upload= 234231116, download = 235799900
epoch= 52, acc = 75.47000122070312
upload= 238735631, download = 240334550
epoch= 53, acc = 76.75
upload= 243240147, download = 244869250
epoch= 54, acc = 75.55000305175781
upload= 247744563, download = 249403850
epoch= 55, acc = 77.80000305175781
upload= 252249079, download = 253938550
epoch= 56, acc = 76.48999786376953
upload= 256753495, download = 258473150
epoch= 57, acc = 77.94999694824219
upload= 261258011, download = 263007850
epoch= 58, acc = 76.66999816894531
upload= 265762527, download = 267542550
epoch= 59, acc = 78.38999938964844
upload= 270266943, download = 272077150
epoch= 60, acc = 76.83000183105469
upload= 274771359, download = 276611750
epoch= 61, acc = 78.83999633789062
upload= 279275874, download = 281146400
epoch= 62, acc = 78.2300033569336
upload= 283780290, download = 285681000
epoch= 63, acc = 79.19999694824219
upload= 288284806, download = 290215700
epoch= 64, acc = 78.19999694824219
upload= 292789322, download = 294750400
epoch= 65, acc = 79.52999877929688
upload= 297293837, download = 299285050
epoch= 66, acc = 78.22000122070312
upload= 301798353, download = 303819750
epoch= 67, acc = 79.63999938964844
upload= 306302869, download = 308354450
epoch= 68, acc = 79.0199966430664
upload= 310807384, download = 312889100
epoch= 69, acc = 80.23999786376953
upload= 315311900, download = 317423800
epoch= 70, acc = 80.0199966430664
upload= 319816416, download = 321958500
epoch= 71, acc = 80.75
upload= 324320832, download = 326493100
epoch= 72, acc = 80.12000274658203
upload= 328825348, download = 331027800
epoch= 73, acc = 81.2699966430664
upload= 333329764, download = 335562400
epoch= 74, acc = 79.97000122070312
upload= 337834080, download = 340096900
epoch= 75, acc = 81.12000274658203
upload= 342338596, download = 344631600
epoch= 76, acc = 80.55999755859375
upload= 346843111, download = 349166250
epoch= 77, acc = 81.75
upload= 351347427, download = 353700750
epoch= 78, acc = 80.01000213623047
upload= 355851742, download = 358235200
epoch= 79, acc = 81.80999755859375
upload= 360356157, download = 362769750
epoch= 80, acc = 80.87000274658203
upload= 364860473, download = 367304250
epoch= 81, acc = 82.01000213623047
upload= 369364989, download = 371838950
epoch= 82, acc = 81.12999725341797
upload= 373869305, download = 376373450
epoch= 83, acc = 82.37000274658203
upload= 378373621, download = 380907950
epoch= 84, acc = 81.16999816894531
upload= 382878137, download = 385442650
epoch= 85, acc = 82.56999969482422
upload= 387382653, download = 389977350
epoch= 86, acc = 81.69000244140625
upload= 391887168, download = 394512000
epoch= 87, acc = 83.18000030517578
upload= 396391684, download = 399046700
epoch= 88, acc = 82.05000305175781
upload= 400896100, download = 403581300
epoch= 89, acc = 83.0999984741211
upload= 405400514, download = 408115800
epoch= 90, acc = 82.63999938964844
upload= 409904930, download = 412650400
epoch= 91, acc = 83.13999938964844
upload= 414409046, download = 417184700
epoch= 92, acc = 82.22000122070312
upload= 418913562, download = 421719400
epoch= 93, acc = 83.41999816894531
upload= 423418078, download = 426254100
epoch= 94, acc = 82.5999984741211
upload= 427922594, download = 430788800
epoch= 95, acc = 83.86000061035156
upload= 432427110, download = 435323500
epoch= 96, acc = 83.19000244140625
upload= 436931624, download = 439858100
epoch= 97, acc = 83.9000015258789
upload= 441435940, download = 444392600
epoch= 98, acc = 83.5199966430664
upload= 445940456, download = 448927300
epoch= 99, acc = 84.37000274658203
upload= 450444872, download = 453461900
