epoch= 0, acc = 12.0
upload= 14052328, download = 14054088
epoch= 1, acc = 14.329999923706055
upload= 28104656, download = 28108176
epoch= 2, acc = 14.34000015258789
upload= 42156984, download = 42162264
epoch= 3, acc = 20.1200008392334
upload= 56209312, download = 56216352
epoch= 4, acc = 21.5
upload= 70261640, download = 70270440
epoch= 5, acc = 30.790000915527344
upload= 84313968, download = 84324528
epoch= 6, acc = 35.79999923706055
upload= 98366296, download = 98378616
epoch= 7, acc = 39.7400016784668
upload= 112418624, download = 112432704
epoch= 8, acc = 45.119998931884766
upload= 126470952, download = 126486792
epoch= 9, acc = 44.61000061035156
upload= 140523280, download = 140540880
epoch= 10, acc = 49.779998779296875
upload= 154575608, download = 154594968
epoch= 11, acc = 47.08000183105469
upload= 168627936, download = 168649056
epoch= 12, acc = 51.439998626708984
upload= 182679952, download = 182702832
epoch= 13, acc = 47.630001068115234
upload= 196732280, download = 196756920
epoch= 14, acc = 52.150001525878906
upload= 210784608, download = 210811008
epoch= 15, acc = 48.02000045776367
upload= 224836936, download = 224865096
epoch= 16, acc = 54.0
upload= 238889264, download = 238919184
epoch= 17, acc = 49.33000183105469
upload= 252941592, download = 252973272
epoch= 18, acc = 56.11000061035156
upload= 266993920, download = 267027360
epoch= 19, acc = 50.77000045776367
upload= 281046248, download = 281081448
epoch= 20, acc = 58.43000030517578
upload= 295098576, download = 295135536
epoch= 21, acc = 52.5099983215332
upload= 309150904, download = 309189624
epoch= 22, acc = 60.720001220703125
upload= 323203232, download = 323243712
epoch= 23, acc = 54.33000183105469
upload= 337255560, download = 337297800
epoch= 24, acc = 62.720001220703125
upload= 351307576, download = 351351576
epoch= 25, acc = 56.939998626708984
upload= 365359904, download = 365405664
epoch= 26, acc = 64.29000091552734
upload= 379412232, download = 379459752
epoch= 27, acc = 58.689998626708984
upload= 393464560, download = 393513840
epoch= 28, acc = 65.55000305175781
upload= 407516888, download = 407567928
epoch= 29, acc = 61.689998626708984
upload= 421569216, download = 421622016
epoch= 30, acc = 67.7300033569336
upload= 435621544, download = 435676104
epoch= 31, acc = 64.55999755859375
upload= 449673872, download = 449730192
epoch= 32, acc = 69.51000213623047
upload= 463726200, download = 463784280
epoch= 33, acc = 67.69999694824219
upload= 477778528, download = 477838368
epoch= 34, acc = 72.11000061035156
upload= 491830856, download = 491892456
epoch= 35, acc = 70.13999938964844
upload= 505883184, download = 505946544
epoch= 36, acc = 73.55999755859375
upload= 519935512, download = 520000632
epoch= 37, acc = 72.83000183105469
upload= 533987840, download = 534054720
epoch= 38, acc = 76.31999969482422
upload= 548040168, download = 548108808
epoch= 39, acc = 74.44999694824219
upload= 562092496, download = 562162896
epoch= 40, acc = 77.22000122070312
upload= 576144824, download = 576216984
epoch= 41, acc = 76.4800033569336
upload= 590196840, download = 590270760
epoch= 42, acc = 78.37000274658203
upload= 604249168, download = 604324848
epoch= 43, acc = 77.94000244140625
upload= 618301496, download = 618378936
epoch= 44, acc = 79.38999938964844
upload= 632353824, download = 632433024
epoch= 45, acc = 78.69999694824219
upload= 646406152, download = 646487112
epoch= 46, acc = 80.05999755859375
upload= 660458480, download = 660541200
epoch= 47, acc = 80.01000213623047
upload= 674510808, download = 674595288
