epoch= 0, acc = 10.779999732971191
upload= 229689315, download = 229719450
epoch= 1, acc = 14.4399995803833
upload= 459358231, download = 459418550
epoch= 2, acc = 14.050000190734863
upload= 689042445, download = 689132850
epoch= 3, acc = 18.34000015258789
upload= 918711360, download = 918831900
epoch= 4, acc = 29.700000762939453
upload= 1148390476, download = 1148541200
epoch= 5, acc = 39.939998626708984
upload= 1378069592, download = 1378250500
epoch= 6, acc = 34.040000915527344
upload= 1607753808, download = 1607964900
epoch= 7, acc = 41.099998474121094
upload= 1837432924, download = 1837674200
epoch= 8, acc = 36.31999969482422
upload= 2067106940, download = 2067378400
epoch= 9, acc = 40.20000076293945
upload= 2296791156, download = 2297092800
epoch= 10, acc = 47.5
upload= 2526470272, download = 2526802100
epoch= 11, acc = 46.08000183105469
upload= 2756149387, download = 2756511350
epoch= 12, acc = 51.810001373291016
upload= 2985838702, download = 2986230800
epoch= 13, acc = 54.06999969482422
upload= 3215507618, download = 3215929900
epoch= 14, acc = 51.5
upload= 3445191834, download = 3445644300
epoch= 15, acc = 50.72999954223633
upload= 3674876050, download = 3675358700
epoch= 16, acc = 50.849998474121094
upload= 3904565366, download = 3905078200
epoch= 17, acc = 50.36000061035156
upload= 4134234282, download = 4134777300
epoch= 18, acc = 51.88999938964844
upload= 4363908298, download = 4364481500
epoch= 19, acc = 55.16999816894531
upload= 4593592513, download = 4594195850
epoch= 20, acc = 55.119998931884766
upload= 4823261429, download = 4823894950
epoch= 21, acc = 58.27000045776367
upload= 5052945645, download = 5053609350
epoch= 22, acc = 58.060001373291016
upload= 5282634960, download = 5283328800
epoch= 23, acc = 63.29999923706055
upload= 5512314076, download = 5513038100
epoch= 24, acc = 55.959999084472656
upload= 5741982992, download = 5742737200
epoch= 25, acc = 64.11000061035156
upload= 5971651908, download = 5972436300
epoch= 26, acc = 61.130001068115234
upload= 6201331024, download = 6202145600
epoch= 27, acc = 60.709999084472656
upload= 6431005040, download = 6431849800
epoch= 28, acc = 63.63999938964844
upload= 6660689256, download = 6661564200
epoch= 29, acc = 67.9800033569336
upload= 6890368372, download = 6891273500
epoch= 30, acc = 64.8499984741211
upload= 7120042388, download = 7120977700
epoch= 31, acc = 70.94999694824219
upload= 7349721503, download = 7350686950
epoch= 32, acc = 64.12000274658203
upload= 7579400618, download = 7580396200
epoch= 33, acc = 77.5199966430664
upload= 7809084832, download = 7810110500
epoch= 34, acc = 66.61000061035156
upload= 8038758847, download = 8039814650
epoch= 35, acc = 76.08000183105469
upload= 8268443063, download = 8269529050
epoch= 36, acc = 70.66000366210938
upload= 8498101779, download = 8499217950
epoch= 37, acc = 78.08999633789062
upload= 8727765595, download = 8728911950
epoch= 38, acc = 71.11000061035156
upload= 8957444711, download = 8958621250
epoch= 39, acc = 80.4000015258789
upload= 9187139126, download = 9188345800
epoch= 40, acc = 76.23999786376953
upload= 9416828442, download = 9418065300
epoch= 41, acc = 80.8499984741211
upload= 9646502458, download = 9647769500
epoch= 42, acc = 74.63999938964844
upload= 9876191774, download = 9877489000
epoch= 43, acc = 81.4000015258789
upload= 10105870890, download = 10107198300
epoch= 44, acc = 75.45999908447266
upload= 10335555106, download = 10336912700
epoch= 45, acc = 83.04000091552734
upload= 10565218921, download = 10566606650
epoch= 46, acc = 79.93000030517578
upload= 10794898036, download = 10796315900
epoch= 47, acc = 82.5
upload= 11024582252, download = 11026030300
