epoch= 0, acc = 10.1899995803833
upload= 229684215, download = 229714350
epoch= 1, acc = 15.770000457763672
upload= 459368431, download = 459428750
epoch= 2, acc = 18.170000076293945
upload= 689062845, download = 689153250
epoch= 3, acc = 22.34000015258789
upload= 918757260, download = 918877800
epoch= 4, acc = 20.510000228881836
upload= 1148446576, download = 1148597300
epoch= 5, acc = 29.420000076293945
upload= 1378146092, download = 1378327000
epoch= 6, acc = 30.649999618530273
upload= 1607835408, download = 1608046500
epoch= 7, acc = 38.650001525878906
upload= 1837524724, download = 1837766000
epoch= 8, acc = 37.779998779296875
upload= 2067214040, download = 2067485500
epoch= 9, acc = 44.16999816894531
upload= 2296903356, download = 2297205000
epoch= 10, acc = 43.099998474121094
upload= 2526597772, download = 2526929600
epoch= 11, acc = 49.380001068115234
upload= 2756276887, download = 2756638850
epoch= 12, acc = 46.380001068115234
upload= 2985966202, download = 2986358300
epoch= 13, acc = 54.43000030517578
upload= 3215665718, download = 3216088000
epoch= 14, acc = 55.869998931884766
upload= 3445339734, download = 3445792200
epoch= 15, acc = 56.709999084472656
upload= 3675039250, download = 3675521900
epoch= 16, acc = 52.5
upload= 3904713266, download = 3905226100
epoch= 17, acc = 56.529998779296875
upload= 4134407682, download = 4134950700
epoch= 18, acc = 54.7400016784668
upload= 4364096998, download = 4364670200
epoch= 19, acc = 57.79999923706055
upload= 4593786313, download = 4594389650
epoch= 20, acc = 56.279998779296875
upload= 4823480729, download = 4824114250
epoch= 21, acc = 59.060001373291016
upload= 5053175145, download = 5053838850
epoch= 22, acc = 58.970001220703125
upload= 5282864460, download = 5283558300
epoch= 23, acc = 62.15999984741211
upload= 5512543576, download = 5513267600
epoch= 24, acc = 59.63999938964844
upload= 5742232892, download = 5742987100
epoch= 25, acc = 64.1500015258789
upload= 5971927308, download = 5972711700
epoch= 26, acc = 60.40999984741211
upload= 6201601324, download = 6202415900
epoch= 27, acc = 67.58999633789062
upload= 6431295740, download = 6432140500
epoch= 28, acc = 63.849998474121094
upload= 6660990156, download = 6661865100
epoch= 29, acc = 71.75
upload= 6890679472, download = 6891584600
epoch= 30, acc = 65.48999786376953
upload= 7120368788, download = 7121304100
epoch= 31, acc = 76.83000183105469
upload= 7350058103, download = 7351023550
epoch= 32, acc = 67.23999786376953
upload= 7579757618, download = 7580753200
epoch= 33, acc = 77.73999786376953
upload= 7809441832, download = 7810467500
epoch= 34, acc = 68.37000274658203
upload= 8039126047, download = 8040181850
epoch= 35, acc = 79.4000015258789
upload= 8268820463, download = 8269906450
epoch= 36, acc = 73.8499984741211
upload= 8498514879, download = 8499631050
epoch= 37, acc = 81.61000061035156
upload= 8728204195, download = 8729350550
epoch= 38, acc = 74.87000274658203
upload= 8957898611, download = 8959075150
epoch= 39, acc = 83.72000122070312
upload= 9187582826, download = 9188789500
epoch= 40, acc = 75.33000183105469
upload= 9417277242, download = 9418514100
epoch= 41, acc = 84.27999877929688
upload= 9646961458, download = 9648228500
epoch= 42, acc = 76.12999725341797
upload= 9876645674, download = 9877942900
epoch= 43, acc = 84.83999633789062
upload= 10106329890, download = 10107657300
epoch= 44, acc = 80.27999877929688
upload= 10336024306, download = 10337381900
epoch= 45, acc = 85.69000244140625
upload= 10565708521, download = 10567096250
epoch= 46, acc = 80.83999633789062
upload= 10795392736, download = 10796810600
epoch= 47, acc = 85.55999755859375
upload= 11025082052, download = 11026530100
epoch= 48, acc = 81.19999694824219
upload= 11254776468, download = 11256254700
epoch= 49, acc = 85.94999694824219
upload= 11484455584, download = 11485964000
epoch= 50, acc = 82.94000244140625
upload= 11714150000, download = 11715688600
epoch= 51, acc = 87.22000122070312
upload= 11943839316, download = 11945408100
epoch= 52, acc = 85.29000091552734
upload= 12173533731, download = 12175132650
epoch= 53, acc = 87.02999877929688
upload= 12403223047, download = 12404852150
epoch= 54, acc = 84.69999694824219
upload= 12632902163, download = 12634561450
epoch= 55, acc = 86.70999908447266
upload= 12862596579, download = 12864286050
epoch= 56, acc = 84.38999938964844
upload= 13092280795, download = 13094000450
epoch= 57, acc = 87.94000244140625
upload= 13321975211, download = 13323725050
epoch= 58, acc = 85.77999877929688
upload= 13551669627, download = 13553449650
epoch= 59, acc = 88.37000274658203
upload= 13781358943, download = 13783169150
epoch= 60, acc = 84.94000244140625
upload= 14011048259, download = 14012888650
epoch= 61, acc = 88.51000213623047
upload= 14240737574, download = 14242608100
epoch= 62, acc = 84.87000274658203
upload= 14470421790, download = 14472322500
epoch= 63, acc = 89.20999908447266
upload= 14700111106, download = 14702042000
epoch= 64, acc = 86.8499984741211
upload= 14929800422, download = 14931761500
epoch= 65, acc = 89.2300033569336
upload= 15159494837, download = 15161486050
epoch= 66, acc = 87.33000183105469
upload= 15389189253, download = 15391210650
epoch= 67, acc = 89.02999877929688
upload= 15618883669, download = 15620935250
epoch= 68, acc = 88.18000030517578
upload= 15848572984, download = 15850654700
epoch= 69, acc = 89.18000030517578
upload= 16078267400, download = 16080379300
epoch= 70, acc = 88.63999938964844
upload= 16307966916, download = 16310109000
epoch= 71, acc = 89.86000061035156
upload= 16537656232, download = 16539828500
epoch= 72, acc = 88.18000030517578
upload= 16767345548, download = 16769548000
epoch= 73, acc = 89.97000122070312
upload= 16997019564, download = 16999252200
epoch= 74, acc = 89.06999969482422
upload= 17226703780, download = 17228966600
epoch= 75, acc = 89.91999816894531
upload= 17456387996, download = 17458681000
epoch= 76, acc = 89.45999908447266
upload= 17686082411, download = 17688405550
epoch= 77, acc = 89.91000366210938
upload= 17915781927, download = 17918135250
epoch= 78, acc = 89.13999938964844
upload= 18145466142, download = 18147849600
epoch= 79, acc = 89.94000244140625
upload= 18375150357, download = 18377563950
epoch= 80, acc = 88.41999816894531
upload= 18604839673, download = 18607283450
epoch= 81, acc = 90.5999984741211
upload= 18834518789, download = 18836992750
epoch= 82, acc = 89.91999816894531
upload= 19064208105, download = 19066712250
epoch= 83, acc = 90.37999725341797
upload= 19293897421, download = 19296431750
epoch= 84, acc = 88.91999816894531
upload= 19523581637, download = 19526146150
epoch= 85, acc = 90.77999877929688
upload= 19753276053, download = 19755870750
epoch= 86, acc = 90.55999755859375
upload= 19982960268, download = 19985585100
epoch= 87, acc = 90.9000015258789
upload= 20212654684, download = 20215309700
epoch= 88, acc = 90.30000305175781
upload= 20442344000, download = 20445029200
epoch= 89, acc = 90.93000030517578
upload= 20672028214, download = 20674743500
epoch= 90, acc = 90.69000244140625
upload= 20901717530, download = 20904463000
epoch= 91, acc = 91.16000366210938
upload= 21131406846, download = 21134182500
epoch= 92, acc = 90.38999938964844
upload= 21361091062, download = 21363896900
epoch= 93, acc = 91.2699966430664
upload= 21590775278, download = 21593611300
epoch= 94, acc = 90.73999786376953
upload= 21820464594, download = 21823330800
epoch= 95, acc = 91.69999694824219
upload= 22050148810, download = 22053045200
epoch= 96, acc = 90.80999755859375
upload= 22279843224, download = 22282769700
epoch= 97, acc = 91.38999938964844
upload= 22509532540, download = 22512489200
epoch= 98, acc = 91.22000122070312
upload= 22739221856, download = 22742208700
epoch= 99, acc = 91.31999969482422
upload= 22968921372, download = 22971938400
