epoch= 0, acc = 10.149999618530273
upload= 4505666, download = 4592200
epoch= 1, acc = 14.430000305175781
upload= 9010182, download = 9126900
epoch= 2, acc = 13.960000038146973
upload= 13514696, download = 13661500
epoch= 3, acc = 21.239999771118164
upload= 18019211, download = 18196150
epoch= 4, acc = 23.09000015258789
upload= 22523727, download = 22730850
epoch= 5, acc = 32.06999969482422
upload= 27028243, download = 27265550
epoch= 6, acc = 33.810001373291016
upload= 31532759, download = 31800250
epoch= 7, acc = 44.40999984741211
upload= 36037275, download = 36334950
epoch= 8, acc = 41.790000915527344
upload= 40541791, download = 40869650
epoch= 9, acc = 51.72999954223633
upload= 45046307, download = 45404350
epoch= 10, acc = 48.720001220703125
upload= 49550823, download = 49939050
epoch= 11, acc = 54.4900016784668
upload= 54055338, download = 54473700
epoch= 12, acc = 52.63999938964844
upload= 58559853, download = 59008350
epoch= 13, acc = 55.02000045776367
upload= 63064369, download = 63543050
epoch= 14, acc = 53.72999954223633
upload= 67568885, download = 68077750
epoch= 15, acc = 55.41999816894531
upload= 72073401, download = 72612450
epoch= 16, acc = 54.06999969482422
upload= 76577917, download = 77147150
epoch= 17, acc = 56.720001220703125
upload= 81082433, download = 81681850
epoch= 18, acc = 54.310001373291016
upload= 85586949, download = 86216550
epoch= 19, acc = 58.400001525878906
upload= 90091464, download = 90751200
epoch= 20, acc = 55.0
upload= 94595980, download = 95285900
epoch= 21, acc = 60.880001068115234
upload= 99100496, download = 99820600
epoch= 22, acc = 56.47999954223633
upload= 103605011, download = 104355250
epoch= 23, acc = 63.61000061035156
upload= 108109427, download = 108889850
epoch= 24, acc = 58.13999938964844
upload= 112613943, download = 113424550
epoch= 25, acc = 66.08999633789062
upload= 117118459, download = 117959250
epoch= 26, acc = 60.029998779296875
upload= 121622975, download = 122493950
epoch= 27, acc = 68.44000244140625
upload= 126127491, download = 127028650
epoch= 28, acc = 62.47999954223633
upload= 130632007, download = 131563350
epoch= 29, acc = 71.37000274658203
upload= 135136523, download = 136098050
epoch= 30, acc = 64.66000366210938
upload= 139641039, download = 140632750
epoch= 31, acc = 73.87999725341797
upload= 144145554, download = 145167400
epoch= 32, acc = 67.22000122070312
upload= 148650069, download = 149702050
epoch= 33, acc = 76.75
upload= 153154583, download = 154236650
epoch= 34, acc = 69.5199966430664
upload= 157659098, download = 158771300
epoch= 35, acc = 78.69000244140625
upload= 162163614, download = 163306000
epoch= 36, acc = 72.16999816894531
upload= 166668130, download = 167840700
epoch= 37, acc = 80.55999755859375
upload= 171172646, download = 172375400
epoch= 38, acc = 74.16999816894531
upload= 175677162, download = 176910100
epoch= 39, acc = 81.91000366210938
upload= 180181677, download = 181444750
epoch= 40, acc = 76.05999755859375
upload= 184686193, download = 185979450
epoch= 41, acc = 83.25
upload= 189190709, download = 190514150
epoch= 42, acc = 77.62000274658203
upload= 193695225, download = 195048850
epoch= 43, acc = 84.05000305175781
upload= 198199741, download = 199583550
epoch= 44, acc = 79.51000213623047
upload= 202704257, download = 204118250
epoch= 45, acc = 84.73999786376953
upload= 207208772, download = 208652900
epoch= 46, acc = 81.06999969482422
upload= 211713287, download = 213187550
epoch= 47, acc = 85.3499984741211
